segment_0|dipa dhamiko janma sudurpashchim nepalko bajhang jillama bhayeko ho 
segment_1|digra deviko janma sudurpashchim nepalko bajhang jillama bhayeko ho 
segment_2|tekbahadur airako janma sudurpashchim nepalko dadeldhura jillama bhayeko ho 
segment_3|suman shekharmanandhar nepalko krishi arthabid tatha gayak hun 
segment_4|adhikarik rupama pahilo nepali chalchitra nayak shib shankar manandharalai manincha 
segment_5|nepali sangitma puryayeko yogadanka lagi sangit udyogale samjhirahanu parne euta naamkoilidevi ho 
segment_6|radio nepalma karyarat rahanda master ratnadas prakash nikai lokapriya thie 
segment_7|prakash shrestha adhunik nepali gayak hun 
segment_8|sete nepali srotamajh bhijeka gayak hun 
segment_9|shanti dhami ek lokapriya lok gayak hun 
segment_10|gopisingh nepaliko janma sudurpashchim nepalko acham jillama bhayeko ho 
segment_11|benimadhab bhattako janma sudurpashchim nepalko doti jillama bhayeko ho 
segment_12|jagdish samal nepali adhunik tatha gajal gayak hun 
segment_13|gopal bistako janma sudurpashchim nepalko baitadi jillama bhayeko ho 
segment_14|bidya timilsinako janma sudurpashchim nepalko bajura jillama bhayeko ho 
segment_15|bimala budhako janma sudurpashchim nepalko bajura jillama bhayeko ho 
segment_16|kumar basnet nepalka lokapriya lok gayak hun 
segment_17|chaandani mallako janma sudurpashchim nepalko darchula jillama bhayeko ho 
segment_18|sabin rai nepali pop gayak tatha sangitakar hun 
segment_19|ganeshbahadur sinhako janma sudurpashchim nepalko bajhang jillama bhayeko ho 
segment_20|sabita bhattale sudurpashchimaka gitaharu gaeki chan 
segment_21|narayan bistako janma sudurpashchim nepalko bajhang jillama bhayeko ho 
segment_22|durgadevi joshiko janma sudurpashchim nepalko bajhang jillama bhayeko ho 
segment_23|gorakhabahadur thapako janma sudurpashchim nepalko bajhang jillama bhayeko ho 
segment_24|pandab sunuwarle nepali sangitik duniyaama hattapatta nametinay pahichan matra banayeka thienan 
segment_25|jhankar saudako janma sudurpashchim nepalko acham jillama bhayeko ho 
segment_26|mohan bajuliya deuda gitaka prakhar gayak hun 
segment_27|ganesh bamako janma sudurpashchim nepalko darchula jillama bhayeko ho 
segment_28|yasa kshetrama rajendrababhadur thapako yogdan adbitiya cha 
segment_29|manorath khadayatko janma sudurpashchim nepalko dadeldhura jillama bhayeko ho 
segment_30|dillibaj phularako janma sudurpashchim nepalko doti jillama bhayeko ho 
segment_31|nimaraj ojhako janma sudurpashchim nepalko doti jillama bhayeko ho 
segment_32|jayabhakta joshiko janma sudurpashchim nepalko bajhang jillama bhayeko ho 
segment_33|shirsak rakheka rahechan santosh sharmale 
segment_34|nandasingh dhamiko janma sudurpashchim nepalko doti jillama bhayeko ho 
segment_35|nandakrishna joshi deuda gayak hun 
segment_36|raju nepalika giti albumharu nikai lokapriya chan 
segment_37|nripa swarako janma sudurpashchim nepalko acham jillama bhayeko ho 
segment_38|deuda gayak maan bahadur kesiko kathai daib talai album bajarma aaudai cha 
segment_39|padmabahadur rokayako janma sudurpashchim nepalko bajhang jillama bhayeko ho 
segment_40|gayak ramkrishna dhakal yinalai aaphno godfather mandachan 
segment_41|double boharako janma sudurpashchim nepalko doti jillama bhayeko ho 
segment_42|mitrasen thapa magar janmanda unaka babu first gorkha riflesma karyarat thie 
segment_43|nabin bhattarai nepali pop gaayanama khyati kamaeka gayak hun 
segment_44|ratna joshiko nama sangitik kshetrama nikai lokapriya cha 
segment_45|shailendra mohan pradhan babu sangit sanyojak hun ra uhanko janma hetaundako school rodama bhayeko ho 
segment_46|yasa chalchitraka nirdeshak pradip shrestha hun 
segment_47|subi shahbdara sankalit dhadingko panchaibaajako dhun radio nepalbata bijayadshamibhar bajainthyo 
segment_48|manohararam damaiko janma sudurpashchim nepalko baitadi jillama bhayeko ho 
segment_49|tila jumla jillako purbi bhagbata pashchim hundai kalikot jillama prabesh gari serigad najikai karnalima misincha 
segment_50|sudip books and stationarylai becher unle arko pasal suru gare 
segment_51|surkhet jumla sadak yo gaunbatai jancha yo gaunlai pipalakotako mukhya byaparik sthanama lina sakincha 
segment_52|tehthum jilla aspatalma aushadhiko abhab bhayepachhi biramiharu ilamtira jharna thaleka chan 
segment_53|pokhara pheewa tal aaspasako kshetrama yo banaspati prashastmatrama paincha 
segment_54|orthopedic aspatalako halako bibaran ra bigatako bibranma nikai bhibhannata aayeko cha 
segment_55|chehare thokarpa motorbato sunkoshi nadipari chawanna saladekhhi sanchalonama airaheko cha 
segment_56|karib tis hajar manishaharu mariae pachas hajar byakti giraphtara bhaye hajaraunle kalapaniko sajay pae 
segment_57|saurya antarrastriya uchcha madhyamik bidyalay ra kalejako bigat tyati ramro chaina tara bartamanma nikai pragati gareko cha 
segment_58|gandaki nadi nepalko madhya kshetrama bagne dherai nadiharu milera banne nadiko nama ho 
segment_59|dui hajar unansattari paush atthaisa gatebaata magh cha gatesamma badhaiya taalmagh tatha krishi mahotsabako ayojana gareko cha 
segment_60|shital books and stationery centerle dherai purana pustakaharu schulko pustakalayalai anudan swarup pradan gareko cha 
segment_61|bharatpur sahar nepalko madhya kshetrama raheko euta mahattapurna sahar ho 
segment_62|dahal surubaatadekhhi nai da kathmandu kitchen namak nepali restaurant chalaunu huncha 
segment_63|kababka parakhiharule ghar ae kababama janu sabaibhanda ramro huncha 
segment_64|gaighatma awasthit triyog uchcha madhyamik bidyalayale shiksha kshetrama gareko yogdanako kadar garde karyakramako ayojana gariyo 
segment_65|gyanakunja uchcha madhyamik bidyalay ra kalejma dherai bidarathtiko bhid lagnale aaphno kshamata badhaunu parne bhayeko cha 
segment_66|purbanchal bishwabidalaya nepalko purba kshetrama awasthit euta bishwabidalaya ho 
segment_67|subiha sampanna byaparik complex tatha malaharu khulne krama badhdo cha yahi kramama darbarmaargasthit rising mal khuleko cha 
segment_68|sahid smaarak kalejale garib tatha jehendaar bidyartihiharu chhatrabritti pradan gardai aayeka chan 
segment_69|kumari bank limitedko nayab pramukh karmachari adhikritama rajib girilai niyukta gareko cha 
segment_70|crossover nepalle aaphno sadhaaran sabha gata mahinako pandraha gate sampanna gareko cha 
segment_71|yo baato dakshin pashchim dishatira modincha ra chitawan nawalparasi jillako simanabata bharat chirdachha 
segment_72|purbanchalaka pahadi kshetraka janataka lagi dhankuta aspatal nai euta bikalpa ho 
segment_73|gunde tal kaski jillako lekhanath nagarpalikama awasthit tal ho 
segment_74|nepalko puranaamadhye euta byabasayik sahar dharan ho 
segment_75|canberako pramukh bajar city senter ho 
segment_76|masaledar khana ruchaunharule chili bar and bhojanalayama janu uttam huncha 
segment_77|sundari gaun purbi nepalko sankhuwasabha jillako khaadbaari nagarpalikako uttari bhagma awasthit cha 
segment_78|kaptan yagyabahadurlai dui hajar ekatish sal mangshir chhabis gateka din kamala nadiko kinarama lager phaansi diiyo 
segment_79|centerpoint network pani anya companiharusalga milera dherai kisimaka karyaharu gardai aayeko cha 
segment_80|sindhulima kalamaamai tatha gaighatma triyuga jasta nagarpalika bhayeko yasa upatyakama katari ghurmi bhimaan lagayatka bajarasamet chan 
segment_81|birendra joharilako visesh suchanaka adharama baghako athar kilo haddi ra chhala sahit charjanalai pakrau garieko jankari dinubhayo 
segment_82|kagjataharu inkoding garne markup bhasa 
segment_83|kimako nidhanapachhi unaka chhora kim jong una uttaradhikari hune sanket diyeko cha 
segment_84|upakarana jasle digital jankari incode garna analog bahak sanket niyantrau gardacha 
segment_85|yahabata hiubaariko dherai sundar drishya dekhincha 
segment_86|kawasoti nawalparasi jillama awasthit gaun bikas samiti 
segment_87|wikimedia matdan template 
segment_88|shankar singh bistako janma sudurpashchim nepalko darchula jillama bhayeko ho 
segment_89|jaanaki aankha aspatalma dainik saya bhanda badhi operation hunchan 
segment_90|sanskrit sahityama bibhinna prsangama prayukta shabdako prayog jati deshako arthama prayog bhayeko paincha 
segment_91|hiralal tamrakaar ek namud gayak tatha sangitakar hun 
segment_92|arko kritakama yo rog nirodhak kshamata hundaina sankraman pachhi rog lagcha marchha 
segment_93|germaniko trierma raheko roman catholic girjaghar 
segment_94|egyptama raheko puratan rajdhani 
segment_95|denis lekhak pari katha lekhak ra kabi 
segment_96|shaikshik patrika ko prashansapatra pratilekhako matlaba sankhya ko parimaan 
segment_97|satyaraj acharya nepali gayak hun 
segment_98|uttarama solukhumbu jilla dakshinma udaypur ra sindhuli jillasanga jodiyeko yasa jillalai pashchimama ramechhap jillasanga likhu nadiale chuttayeko cha 
segment_99|track ra field daud kheladi 
segment_100|bhoj raj bhattako janma sudurpashchim nepalko dadeldhura jillama bhayeko ho 
segment_101|kampyutar lagi electronic drishya pradarshan 
segment_102|professional kampyutar systemale sthaniya bidyalayaharuma sasta ra sajila computeraharu pradan garne bhayeko cha 
segment_103|kamalanayanacharyako naamai anautho cha 
segment_104|amerikii abhineta model nartak nirmata ra gayak gitkaar 
segment_105|nirmala bhandariko janma sudurpashchim nepalko doti jillama bhayeko ho 
segment_106|kunti rokayako janma sudurpashchim nepalko bajhang jillama bhayeko ho 
segment_107|sudurpashchim nepalko bajhang jillama janmeka hemanta rokayaka gitaharu lokapriya chan 
segment_108|keralka baidya paramparama ayurveda bidyalayaharuka staanakaharudekhhi purkhyauli pesako rupama bhayeka baidya pani samel chan 
segment_109|buddhikrishna lamichhane nepalka lokagit sankalak tatha gayak hun 
segment_110|bidyut ghatak jasle bidyut sarkiat todna sakcha 
segment_111|bardiya rastriya nikunja purbama chepang nadi pashchimama karnali nadi uttarama babai nadi ra dakshinma purba pashchimama mahendra rajmargasanga jodiyeko cha 
segment_112|kathmandu hawaiimaargabata pandraha minetako durima awasthit tatha simara bimaansthalabata atyanta najikako sahar birganja ho 
segment_113|dolakha ramechhap ra sindhuli ballo kirantama ra sunkoshi dekhi aruna nadisamma bhag maajh kirantama pardacha 
segment_114|sushila thapako janma sudurpashchim nepalko bajura jillama bhayeko ho 
segment_115|kyaad nepal ajako dinma anya kampaniharubhanda dherai agadi cha 
segment_116|kabeli bikas bank limited nepal rashtra bainkako bargikaran anusaar kha bargama parne euta bank ho 
segment_117|rapti nadiale chirer gayeko yo upatyakalai nepalko sabhanda lamo mahendra rajmargale samet bichaibata kaatchha 
segment_118|bharat rawalako janma sudurpashchim nepalko acham jillama bhayeko ho 
segment_119|yaslai angrejima blakhedded muniya bhanincha 
segment_120|mayadevi garbhini awasthama maaita arthat ramagram jana lagda isapurba cha saya tehisama lumbinima siddhartha gautamako janma bhayeko thiyo 
