segment_0|diipaa dhaamiiko janma suduurapashchima nepaalako bajhaanga jillaamaa bhaeko ho
segment_1|digraa debiiko janma suduurapashchima nepaalako bajhaanga jillaamaa bhaeko ho
segment_2|tekabahaadura airako janma suduurapashchima nepaalako dadeladhuraa jillaamaa bhaeko ho
segment_3|sumana shekharamaanandhara nepaalako krishi arthabid tathaa gaayaka hun
segment_4|aadhikaarika ruupamaa pahilo nepaalii chalachitra naayaka shiba shakara maanandharalaaii maaninchha
segment_5|nepaalii sanggiitamaa pur‍yaaeko yogadaanakaa laagi sanggiita udyogale samjhirahanu parne eutaa naamakoiliidebii ho
segment_6|rediyo nepaalamaa kaaryarata rahaadaa maastara ratnadaasa prakaasha nikai lokapriya thie
segment_7|prakaasha shreshtha aadhunika nepaalii gaayaka hun
segment_8|sete nepaalii shrotaamaajha bhijekaa gaayaka hun
segment_9|shaanti dhaamii eka lokapriya loka gaayaka hun
segment_10|gopisiha nepaaliiko janma suduurapashchima nepaalako achhaama jillaamaa bhaeko ho
segment_11|beniimaadhaba bhattako janma suduurapashchima nepaalako dotii jillaamaa bhaeko ho
segment_12|jagadisha samaala nepaalii aadhunika tathaa gajala gaayaka huna
segment_13|gopaala bistako janma suduurapashchima nepaalako baitadii jillaamaa bhaeko ho
segment_14|bidyaa timilsinaako janma suduurapashchima nepaalako baajuraa jillaamaa bhaeko ho
segment_15|bimalaa budhaako janma suduurapashchima nepaalako baajuraa jillaamaa bhaeko ho
segment_16|kumaara basneta nepaalakaa lokapriya loka gaayaka hun
segment_17|chaadanii mallako janma suduurapashchima nepaalako daarchulaa jillaamaa bhaeko ho
segment_18|sabina raaii nepaalii papa gaayaka tathaa sagiitakaara hun
segment_19|ganeshabahaadura sihako janma suduurapashchima nepaalako bajhaanga jillaamaa bhaeko ho
segment_20|sabitaa bhattale suduurapashchimakaa giitaharuu gaaekii chhan
segment_21|naaraayana bistako janma suduurapashchima nepaalako bajhaanga jillaamaa bhaeko ho
segment_22|durgaadebii joshiiko janma suduurapashchima nepaalako bajhaanga jillaamaa bhaeko ho
segment_23|gorakhabahaadura thaapaako janma suduurapashchima nepaalako bajhaanga jillaamaa bhaeko ho
segment_24|paandaba sunubaarale nepaalii saanggiitika duniyaamaa hattapatta nametine pahichaana maatra banaaekaa thienan
segment_25|jhakara saaudako janma suduurapashchima nepaalako achhaama jillaamaa bhaeko ho
segment_26|mohana bajuliyaa deudaa giitakaa prakhara gaayaka hun
segment_27|ganesha bamako janma suduurapashchima nepaalako daarchulaa jillaamaa bhaeko ho
segment_28|yasa kshetramaa raajendrabahaadura thaapaako yogadaana adbitiiya chha
segment_29|manoratha khadaayatako janma suduurapashchima nepaalako dadeladhuraa jillaamaa bhaeko ho
segment_30|dilliiraaja phulaaraako janma suduurapashchima nepaalako dotii jillaamaa bhaeko ho
segment_31|nimaraaja ojhaako janma suduurapashchima nepaalako dotii jillaamaa bhaeko ho
segment_32|jayabhakta joshiiko janma suduurapashchima nepaalako bajhaanga jillaamaa bhaeko ho
segment_33|shiirshaka raakhekaa rahechhan santosha sharmaale
segment_34|nandasiha dhaamiiko janma suduurapashchima nepaalako dotii jillaamaa bhaeko ho
segment_35|nandakrishna joshii deudaa gaayaka hun
segment_36|raaju nepaaliikaa giiti elbamaharuu nikai lokapriya chhan
segment_37|nripa sbaarako janma suduurapashchima nepaalako achhaama jillaamaa bhaeko ho
segment_38|deudaa gaayaka maana bahaadura kesiiko kathai daiba talaaii elbama bajaaramaa aaudai chha
segment_39|padamabahaadura rokaayaako janma suduurapashchima nepaalako bajhaanga jillaamaa bhaeko ho
segment_40|gaayaka raamakrishna dhakaala yinalaaii aaphno gadaphaadara maandachhan
segment_41|dabala boharaako janma suduurapashchima nepaalako dotii jillaamaa bhaeko ho
segment_42|mitrasena thaapaa magara janmaadaa unakaa baabu pharsta gorakhaa raaiphalsamaa kaaryarata thie
segment_43|nabiina bhattaraaii nepaalii papa gaayanamaa khyaati kamaaekaa gaayaka hun
segment_44|ratnaa joshiiko naama saanggiitika kshetramaa nikai lokapriya chha
segment_45|shailendra mohana pradhaana baabu sanggiita sayojaka hun ra uhaako janma hetaudaako skula rodamaa bhaeko ho
segment_46|yasa chalachitrakaa nirdeshaka pradiipa shreshtha hun
segment_47|subi shaahadbaaraa sangkalita dhaadingako paynchaibaajaako dhuna rediyo nepaalabaata bijayaadashamiibhara bajaainthyo
segment_48|manohararaama damaaiiko janma suduurapashchima nepaalako baitadii jillaamaa bhaeko ho
segment_49|tilaa jumlaa jillaako puurbii bhaagabaata pashchima hudai kaalikota jillaamaa prabesha garii seriigaada najikai karnaaliimaa misinchha
segment_50|sudipa buksa enda s‍tesanariilaaii bechera unale arko pasala suru gare
segment_51|surkheta jumlaa sadaka yo gaaubaatai jaanchha yo gaaulaaii pipalakotako mukhya byaapaarika sthaanamaa lina sakinchha
segment_52|tehrathuma jillaa aspataalamaa aushadhiko abhaaba bhaepachhi biraamiiharuu ilaamatira jharna thaalekaa chhan
segment_53|pokharaa phebaa taala aasapaasako kshetramaa yo banaspati prashastamaatraamaa paainchha
segment_54|arthopediika aspataalako haalako bibarana ra bigatako bibaranamaa nikai bibhannataa aaeko chha
segment_55|chehere thokarpaa motarabaato sunakoshii nadiipaarii chabanna saaladekhi saynchaalanamaa aairaheko chha
segment_56|kariba tiisa hajaara maanisaharuu maarie pachaasa hajaara byakti giraphtaara bhae hajaaraule kaalaapaaniiko sajaaya paae
segment_57|saurya antarraashtriya uchcha maadhyamika bidyaalaya ra kalejako bigata tyati raamro chhaina tara bartamaanamaa nikai pragati gareko chha
segment_58|gandagii nadii nepaalako madhya kshetramaa bagne dherai nadiiharuu milera banne nadiiko naama ho
segment_59|duii hajaara unaansattarii pausha atthaaisa gatebaata maagha chha gatesamma badhaiyaa taalamaaghii tathaa krishi mahotsabako aayojanaa gareko chha
segment_60|shiitala buksa enda stesanarii sentarale dherai puraanaa pustakaharuu skulako pustakaalayalaaii anudaana sbaruupa pradaana gareko chha
segment_61|bharatapura sahara nepaalako madhya kshetramaa raheko eutaa mahattbapuurna sahara ho
segment_62|daahaala surubaatadekhi nai da kaathamaadau kichana naamaka nepaalii resturaa chalaaunu hunchha
segment_63|kabaabakaa paarakhiiharuule ghara e kabaabamaa jaanu sabaibhandaa raamro hunchha
segment_64|gaaiighaatamaa abasthita triyoga uchcha maadhyamika bidyaalayale shikshaa kshetramaa gareko yogadaanako kadara garde kaaryakramako aayojanaa gariyo
segment_65|jynaanakunja uchcha maadhyamika bidyaalaya ra kalejamaa dherai bidyaarthiiko bhida laagnaale aaphno kshamataa badhaaunu parne bhaeko chha
segment_66|puurbaaynchala bishbabidyaalaya nepaalako puurba kshetramaa abasthita eutaa bishbabidyaalaya ho
segment_67|subidhaa sampanna byaapaarika kamleksa tathaa malaharuu khulne krama badhdo chha yahii kramamaa darabaaramaargasthita raaijinga mala khuleko chha
segment_68|sahida smaaraka kalejale gariba tathaa jehendaara bidyaarthiiharuulaaii chhaatrabriti pradaana gardai aaekaa chhan
segment_69|kumaarii baingka limitedale naayaba pramukha kaarmachaarii adhikritamaa raajiba giriilaaii niyukta gareko chha
segment_70|krasaobhara nepaalale aaphno saadhaarana sabhaa gata mahinaako pandhra gate sampanna gareko chha
segment_71|yo baato dakshina pashchima dishaatira modinchha ra chitabana nabalaparaasii jillaako simaanaabaata bhaarata chhirdachha
segment_72|puurbaaynchalakaa pahaadii kshetrakaa janataakaa laagi dhanakutaa aspataala nai eutaa bikalpa ho
segment_73|gude taala kaaskii jillaako lekhanaatha nagarapaalikaamaa abasthita taala ho
segment_74|nepaalako puraanaamadhye eutaa byaabasaayika sahara dharaana ho
segment_75|kyaanabaraako pramukha bajaara sitii sentara ho
segment_76|masaaledaara khaanaa ruchaauneharuule chilii baara enda bhojanaalayamaa jaanu uttama hunchha
segment_77|sundarii gaau puurbii nepaalako sangkhubaasabhaa jillaako khaadabaarii nagarapaalikaako uttarii bhaagamaa abasthita chha
segment_78|kaptaana yajynabahaaduralaaii duii hajaara ekatisa saala mangsira chhabbisa gatekaa dina kamalaa nadiiko kinaaraamaa lagera phaasii diiyo
segment_79|sentarapointa netabarka pani anya kampaniiharuusaaga milera dherai kisimakaa kaaryaharuu gardai aaeko chha
segment_80|sindhuliimaa kamalaamaaii tathaa gaaiighaatamaa triyugaa jastaa nagarapaalikaa bhaeko yasa upatyakaamaa kataarii ghurmii bhimaana lagaayatakaa bajaarasameta chhan
segment_81|birendra johaariilako bishesha suuchanaakaa aadhaaramaa baaghako athaara kilo haddii ra chhaalaa sahita chaarajanaalaaii pakraau garieko jaanakaarii dinubhayo
segment_82|kaagajaataharuu inkodinga garne maarkaapa bhaashaa
segment_83|kimako nidhanapachhi unakaa chhoraa kima jonga una uttaraadhikaarii hune sangketa dieko chha
segment_84|upakarana jasale dijitala jaanakaarii inakoda garna enaalaga baahaka sangketa niyantrana gardachha
segment_85|yahaabaata hiubaariiko dherai sundara drishya dekhinchha
segment_86|kaabaasotii nabalaparaasii jillaamaa abasthita gaau bikaasa samiti
segment_87|bikimidiyaa matadaana tempaleta
segment_88|shangkara siha bistako janma suduurapashchima nepaalako daarchulaa jillaamaa bhaeko ho
segment_89|jaanakii aakhaa aspataalamaa dainika saya bhandaa badhii aparesana hunchhan
segment_90|saskrita saahityamaa bibhinna prasanggamaa prayukta shabdako prayoga jaati deshako arthamaa prayoga bhaeko paainchha
segment_91|hiraalaala taamraakaara eka naamuda gaayaka tathaa sanggiitakaara hun
segment_92|arko kritakamaa yo roga nirodhaka kshamataa hudaina sakramana pachhi roga laagchha marchha
segment_93|jarmaniiko triyaramaa raheko romana kyaatholika girjaaghara
segment_94|ijiptamaa raheko puraatana raajadhaanii
segment_95|denisa lekhaka parii kathaa lekhaka ra kabi
segment_96|shaikshika patrikaa ko prashasaapatra pratilekhako matalaba sangkhyaa ko parimaana
segment_97|satyaraaja aachaarya nepaalii gaayaka hun
segment_98|uttaramaa solukhumbu jillaa dakshinamaa udayapura ra sindhulii jillaasaaga jodieko yasa jillaalaaii pashchimamaa raamechhaapa jillaasaaga likhuu nadiile chhutyaaeko chha
segment_99|tryaaka ra philda dauda khelaadii
segment_100|bhoja raaja bhattako janma suduurapashchima nepaalako dadeladhuraa jillaamaa bhaeko ho
segment_101|kampyutara laagi ilektronika drishya pradarshana
segment_102|prophesanala kampyutara sistamale sthaaniiya bidyaalayaharuumaa sastaa ra sajilaa kampyutaraharuu pradaana garne bhaeko chha
segment_103|kamalanayanaachaaryako naamai anautho chha
segment_104|amerikii abhinetaa modela nartaka nirmaataa ra gaayaka giitakaara
segment_105|nirmalaa bhandaariiko janma suduurapashchima nepaalako dotii jillaamaa bhaeko ho
segment_106|kuntii rokaayaako janma suduurapashchima nepaalako bajhaanga jillaamaa bhaeko ho
segment_107|suduurapashchima nepaalako bajhaanga jillaamaa janmekaa hemanta rokaayaakaa giitaharuu lokapriya chhan
segment_108|keralakaa baidya paramparaamaa aayurbeda bidyaalayaharuukaa staanakaharuudekhi purkhyaulii pesaako ruupamaa bhaekaa baidya pani saamela chhan
segment_109|buddhikrishna laamichhaane nepaalakaa lokagiita sangkalaka tathaa gaayaka hun
segment_110|bidyuta ghataka jasale bidyuta sarkita todna sakchha
segment_111|bardiyaa raashtriya nikunja puurbamaa chepaanga nadii pashchimamaa karnaalii nadii uttaramaa babaii nadii ra dakshinamaa puurba pashchimamaa mahendra raajamaargasaaga jodieko chha
segment_112|kaathamaadau habaaimaargabaata pandhra minetako duuriimaa abasthita tathaa simaraa bimaanasthalabaata atyanta najikaiko sahara biiragaynja ho
segment_113|dolakhaa raamechhaapa ra sindhulii ballo kiraatamaa ra sunakoshii dekhi aruna nadiisammako bhaaga maajha kiraatamaa pardachha
segment_114|shusilaa thaapaako janma suduurapashchima nepaalako baajuraa jillaamaa bhaeko ho
segment_115|kyaada nepaala aajako dinamaa anya kampaniiharuubhandaa dherai agaadi chha
segment_116|kaabelii bikaasa baingka limiteda nepaala raashtra baingkako bargiikarana anusaara kha bargamaa parne eutaa baingka ho
